actor_id,film_id,last_update
1,1,2025-01-29 22:09:21.153631
1,23,2025-01-29 22:14:11.451307
1,25,2025-01-29 22:14:11.451307
1,106,2025-01-29 22:14:11.451307
1,140,2025-01-29 22:14:11.451307
1,166,2025-01-29 22:14:11.451307
1,277,2025-01-29 22:14:11.451307
1,361,2025-01-29 22:14:11.451307
1,438,2025-01-29 22:14:11.451307
1,499,2025-01-29 22:14:11.451307
1,506,2025-01-29 22:14:11.451307
1,509,2025-01-29 22:14:11.451307
1,605,2025-01-29 22:14:11.451307
1,635,2025-01-29 22:14:11.451307
1,749,2025-01-29 22:14:11.451307
1,832,2025-01-29 22:14:11.451307
1,939,2025-01-29 22:14:11.451307
1,970,2025-01-29 22:14:11.451307
1,980,2025-01-29 22:14:11.451307
2,3,2025-01-29 22:14:11.451307
2,31,2025-01-29 22:14:11.451307
2,47,2025-01-29 22:14:11.451307
2,105,2025-01-29 22:14:11.451307
2,132,2025-01-29 22:14:11.451307
2,145,2025-01-29 22:14:11.451307
2,226,2025-01-29 22:14:11.451307
2,249,2025-01-29 22:14:11.451307
2,314,2025-01-29 22:14:11.451307
2,321,2025-01-29 22:14:11.451307
2,357,2025-01-29 22:14:11.451307
2,369,2025-01-29 22:14:11.451307
2,399,2025-01-29 22:14:11.451307
2,458,2025-01-29 22:14:11.451307
2,481,2025-01-29 22:14:11.451307
2,485,2025-01-29 22:14:11.451307
2,518,2025-01-29 22:14:11.451307
2,540,2025-01-29 22:14:11.451307
2,550,2025-01-29 22:14:11.451307
2,555,2025-01-29 22:14:11.451307
2,561,2025-01-29 22:14:11.451307
2,742,2025-01-29 22:14:11.451307
2,754,2025-01-29 22:14:11.451307
2,811,2025-01-29 22:14:11.451307
2,958,2025-01-29 22:14:11.451307
3,17,2025-01-29 22:14:11.451307
3,40,2025-01-29 22:14:11.451307
3,42,2025-01-29 22:14:11.451307
3,87,2025-01-29 22:14:11.451307
3,111,2025-01-29 22:14:11.451307
3,185,2025-01-29 22:14:11.451307
3,289,2025-01-29 22:14:11.451307
3,329,2025-01-29 22:14:11.451307
3,336,2025-01-29 22:14:11.451307
3,341,2025-01-29 22:14:11.451307
3,393,2025-01-29 22:14:11.451307
3,441,2025-01-29 22:14:11.451307
3,453,2025-01-29 22:14:11.451307
3,480,2025-01-29 22:14:11.451307
3,539,2025-01-29 22:14:11.451307
3,618,2025-01-29 22:14:11.451307
3,685,2025-01-29 22:14:11.451307
3,827,2025-01-29 22:14:11.451307
3,966,2025-01-29 22:14:11.451307
3,967,2025-01-29 22:14:11.451307
3,971,2025-01-29 22:14:11.451307
3,996,2025-01-29 22:14:11.451307
4,23,2025-01-29 22:14:11.451307
4,25,2025-01-29 22:14:11.451307
4,56,2025-01-29 22:14:11.451307
4,62,2025-01-29 22:14:11.451307
4,79,2025-01-29 22:14:11.451307
4,87,2025-01-29 22:14:11.451307
4,355,2025-01-29 22:14:11.451307
4,379,2025-01-29 22:14:11.451307
4,398,2025-01-29 22:14:11.451307
4,463,2025-01-29 22:14:11.451307
4,490,2025-01-29 22:14:11.451307
4,616,2025-01-29 22:14:11.451307
4,635,2025-01-29 22:14:11.451307
4,691,2025-01-29 22:14:11.451307
4,712,2025-01-29 22:14:11.451307
4,714,2025-01-29 22:14:11.451307
4,721,2025-01-29 22:14:11.451307
4,798,2025-01-29 22:14:11.451307
4,832,2025-01-29 22:14:11.451307
4,858,2025-01-29 22:14:11.451307
4,909,2025-01-29 22:14:11.451307
4,924,2025-01-29 22:14:11.451307
5,19,2025-01-29 22:14:11.451307
5,54,2025-01-29 22:14:11.451307
5,85,2025-01-29 22:14:11.451307
5,146,2025-01-29 22:14:11.451307
5,171,2025-01-29 22:14:11.451307
5,172,2025-01-29 22:14:11.451307
5,202,2025-01-29 22:14:11.451307
5,203,2025-01-29 22:14:11.451307
5,286,2025-01-29 22:14:11.451307
5,288,2025-01-29 22:14:11.451307
5,316,2025-01-29 22:14:11.451307
5,340,2025-01-29 22:14:11.451307
5,369,2025-01-29 22:14:11.451307
5,375,2025-01-29 22:14:11.451307
5,383,2025-01-29 22:14:11.451307
5,392,2025-01-29 22:14:11.451307
5,411,2025-01-29 22:14:11.451307
5,503,2025-01-29 22:14:11.451307
5,535,2025-01-29 22:14:11.451307
5,571,2025-01-29 22:14:11.451307
5,650,2025-01-29 22:14:11.451307
5,665,2025-01-29 22:14:11.451307
5,687,2025-01-29 22:14:11.451307
5,730,2025-01-29 22:14:11.451307
5,732,2025-01-29 22:14:11.451307
5,811,2025-01-29 22:14:11.451307
5,817,2025-01-29 22:14:11.451307
5,841,2025-01-29 22:14:11.451307
5,865,2025-01-29 22:14:11.451307
6,29,2025-01-29 22:14:11.451307
6,53,2025-01-29 22:14:11.451307
6,60,2025-01-29 22:14:11.451307
6,70,2025-01-29 22:14:11.451307
6,112,2025-01-29 22:14:11.451307
6,164,2025-01-29 22:14:11.451307
6,165,2025-01-29 22:14:11.451307
6,193,2025-01-29 22:14:11.451307
6,256,2025-01-29 22:14:11.451307
6,451,2025-01-29 22:14:11.451307
6,503,2025-01-29 22:14:11.451307
6,509,2025-01-29 22:14:11.451307
6,517,2025-01-29 22:14:11.451307
6,519,2025-01-29 22:14:11.451307
6,605,2025-01-29 22:14:11.451307
6,692,2025-01-29 22:14:11.451307
6,826,2025-01-29 22:14:11.451307
6,892,2025-01-29 22:14:11.451307
6,902,2025-01-29 22:14:11.451307
6,994,2025-01-29 22:14:11.451307
7,25,2025-01-29 22:14:11.451307
7,27,2025-01-29 22:14:11.451307
7,35,2025-01-29 22:14:11.451307
7,67,2025-01-29 22:14:11.451307
7,96,2025-01-29 22:14:11.451307
7,170,2025-01-29 22:14:11.451307
7,173,2025-01-29 22:14:11.451307
7,217,2025-01-29 22:14:11.451307
7,218,2025-01-29 22:14:11.451307
7,225,2025-01-29 22:14:11.451307
7,292,2025-01-29 22:14:11.451307
7,351,2025-01-29 22:14:11.451307
7,414,2025-01-29 22:14:11.451307
7,463,2025-01-29 22:14:11.451307
7,554,2025-01-29 22:14:11.451307
7,618,2025-01-29 22:14:11.451307
7,633,2025-01-29 22:14:11.451307
7,637,2025-01-29 22:14:11.451307
7,691,2025-01-29 22:14:11.451307
7,758,2025-01-29 22:14:11.451307
7,766,2025-01-29 22:14:11.451307
7,770,2025-01-29 22:14:11.451307
7,805,2025-01-29 22:14:11.451307
7,806,2025-01-29 22:14:11.451307
7,846,2025-01-29 22:14:11.451307
7,900,2025-01-29 22:14:11.451307
7,901,2025-01-29 22:14:11.451307
7,910,2025-01-29 22:14:11.451307
7,957,2025-01-29 22:14:11.451307
7,959,2025-01-29 22:14:11.451307
8,47,2025-01-29 22:14:11.451307
8,115,2025-01-29 22:14:11.451307
8,158,2025-01-29 22:14:11.451307
