inventory_id,film_id,store_id,last_update
1,1,1,2025-01-29 21:48:59.717267
2,1,1,2025-01-29 21:59:44.983815
3,1,1,2025-01-29 21:59:44.983815
4,1,1,2025-01-29 21:59:44.983815
5,1,2,2025-01-29 21:59:44.983815
6,1,2,2025-01-29 21:59:44.983815
7,1,2,2025-01-29 21:59:44.983815
8,1,2,2025-01-29 21:59:44.983815
9,2,2,2025-01-29 21:59:44.983815
10,2,2,2025-01-29 21:59:44.983815
11,2,2,2025-01-29 21:59:44.983815
12,3,2,2025-01-29 21:59:44.983815
13,3,2,2025-01-29 21:59:44.983815
14,3,2,2025-01-29 21:59:44.983815
15,3,2,2025-01-29 21:59:44.983815
16,4,1,2025-01-29 21:59:44.983815
17,4,1,2025-01-29 21:59:44.983815
18,4,1,2025-01-29 21:59:44.983815
19,4,1,2025-01-29 21:59:44.983815
20,4,2,2025-01-29 21:59:44.983815
21,4,2,2025-01-29 21:59:44.983815
22,4,2,2025-01-29 21:59:44.983815
23,5,2,2025-01-29 21:59:44.983815
24,5,2,2025-01-29 21:59:44.983815
25,5,2,2025-01-29 21:59:44.983815
26,6,1,2025-01-29 21:59:44.983815
27,6,1,2025-01-29 21:59:44.983815
28,6,1,2025-01-29 21:59:44.983815
29,6,2,2025-01-29 21:59:44.983815
30,6,2,2025-01-29 21:59:44.983815
31,6,2,2025-01-29 21:59:44.983815
32,7,1,2025-01-29 21:59:44.983815
33,7,1,2025-01-29 21:59:44.983815
34,7,2,2025-01-29 21:59:44.983815
35,7,2,2025-01-29 21:59:44.983815
36,7,2,2025-01-29 21:59:44.983815
37,8,2,2025-01-29 21:59:44.983815
38,8,2,2025-01-29 21:59:44.983815
39,8,2,2025-01-29 21:59:44.983815
40,8,2,2025-01-29 21:59:44.983815
41,9,1,2025-01-29 21:59:44.983815
42,9,1,2025-01-29 21:59:44.983815
43,9,1,2025-01-29 21:59:44.983815
44,9,2,2025-01-29 21:59:44.983815
45,9,2,2025-01-29 21:59:44.983815
46,10,1,2025-01-29 21:59:44.983815
47,10,1,2025-01-29 21:59:44.983815
48,10,1,2025-01-29 21:59:44.983815
49,10,1,2025-01-29 21:59:44.983815
50,10,2,2025-01-29 21:59:44.983815
51,10,2,2025-01-29 21:59:44.983815
52,10,2,2025-01-29 21:59:44.983815
53,11,1,2025-01-29 21:59:44.983815
54,11,1,2025-01-29 21:59:44.983815
55,11,1,2025-01-29 21:59:44.983815
56,11,1,2025-01-29 21:59:44.983815
57,11,2,2025-01-29 21:59:44.983815
58,11,2,2025-01-29 21:59:44.983815
59,11,2,2025-01-29 21:59:44.983815
60,12,1,2025-01-29 21:59:44.983815
61,12,1,2025-01-29 21:59:44.983815
62,12,1,2025-01-29 21:59:44.983815
63,12,2,2025-01-29 21:59:44.983815
64,12,2,2025-01-29 21:59:44.983815
65,12,2,2025-01-29 21:59:44.983815
66,12,2,2025-01-29 21:59:44.983815
67,13,2,2025-01-29 21:59:44.983815
68,13,2,2025-01-29 21:59:44.983815
69,13,2,2025-01-29 21:59:44.983815
70,13,2,2025-01-29 21:59:44.983815
71,15,1,2025-01-29 21:59:44.983815
72,15,1,2025-01-29 21:59:44.983815
73,15,2,2025-01-29 21:59:44.983815
74,15,2,2025-01-29 21:59:44.983815
75,15,2,2025-01-29 21:59:44.983815
76,15,2,2025-01-29 21:59:44.983815
77,16,1,2025-01-29 21:59:44.983815
78,16,1,2025-01-29 21:59:44.983815
79,16,2,2025-01-29 21:59:44.983815
80,16,2,2025-01-29 21:59:44.983815
81,17,1,2025-01-29 21:59:44.983815
82,17,1,2025-01-29 21:59:44.983815
83,17,1,2025-01-29 21:59:44.983815
84,17,2,2025-01-29 21:59:44.983815
85,17,2,2025-01-29 21:59:44.983815
86,17,2,2025-01-29 21:59:44.983815
87,18,1,2025-01-29 21:59:44.983815
88,18,1,2025-01-29 21:59:44.983815
89,18,1,2025-01-29 21:59:44.983815
90,18,2,2025-01-29 21:59:44.983815
91,18,2,2025-01-29 21:59:44.983815
92,18,2,2025-01-29 21:59:44.983815
93,19,1,2025-01-29 21:59:44.983815
94,19,1,2025-01-29 21:59:44.983815
95,19,1,2025-01-29 21:59:44.983815
96,19,1,2025-01-29 21:59:44.983815
97,19,2,2025-01-29 21:59:44.983815
98,19,2,2025-01-29 21:59:44.983815
99,20,1,2025-01-29 21:59:44.983815
100,20,1,2025-01-29 21:59:44.983815
101,20,1,2025-01-29 21:59:44.983815
102,21,1,2025-01-29 21:59:44.983815
103,21,1,2025-01-29 21:59:44.983815
104,21,2,2025-01-29 21:59:44.983815
105,21,2,2025-01-29 21:59:44.983815
106,21,2,2025-01-29 21:59:44.983815
107,21,2,2025-01-29 21:59:44.983815
108,22,1,2025-01-29 21:59:44.983815
109,22,1,2025-01-29 21:59:44.983815
110,22,1,2025-01-29 21:59:44.983815
111,22,1,2025-01-29 21:59:44.983815
112,22,2,2025-01-29 21:59:44.983815
113,22,2,2025-01-29 21:59:44.983815
114,22,2,2025-01-29 21:59:44.983815
115,23,1,2025-01-29 21:59:44.983815
116,23,1,2025-01-29 21:59:44.983815
117,23,1,2025-01-29 21:59:44.983815
118,23,2,2025-01-29 21:59:44.983815
119,23,2,2025-01-29 21:59:44.983815
120,24,1,2025-01-29 21:59:44.983815
121,24,1,2025-01-29 21:59:44.983815
122,24,1,2025-01-29 21:59:44.983815
123,24,1,2025-01-29 21:59:44.983815
124,25,1,2025-01-29 21:59:44.983815
125,25,1,2025-01-29 21:59:44.983815
126,25,1,2025-01-29 21:59:44.983815
127,25,1,2025-01-29 21:59:44.983815
128,25,2,2025-01-29 21:59:44.983815
129,25,2,2025-01-29 21:59:44.983815
130,26,1,2025-01-29 21:59:44.983815
131,26,1,2025-01-29 21:59:44.983815
132,26,2,2025-01-29 21:59:44.983815
133,26,2,2025-01-29 21:59:44.983815
134,26,2,2025-01-29 21:59:44.983815
135,27,1,2025-01-29 21:59:44.983815
136,27,1,2025-01-29 21:59:44.983815
137,27,1,2025-01-29 21:59:44.983815
138,27,1,2025-01-29 21:59:44.983815
139,28,1,2025-01-29 21:59:44.983815
